,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
ACB,0.0,1.846153846153853,0.9316770186335255,1.2578616352201255,-0.6249999999999978,1.5873015873015817,0.31847133757962887,1.9480519480519431,0.0,1.3157894736842257,2.0134228187919323,-2.931596091205202,0.32679738562091387,-2.2364217252396124,-1.8808777429467072,1.2698412698412653,-1.253918495297801,2.5723472668810254,1.3029315960912058,-3.154574132492116,-2.1604938271604923,-1.5197568389057725,0.3048780487804992
BID,-0.41407867494822614,-0.20661157024793875,-0.4115226337448652,1.4613778705636848,1.483050847457612,0.42553191489362874,-1.260504201680679,4.157549234135671,0.0,2.008928571428581,2.2831050228310446,-2.2321428571428603,2.517162471395862,0.0,3.0660377358490587,2.4154589371980784,-1.4285714285714346,1.2048192771084265,-0.7177033492822948,-2.336448598130836,0.7058823529411784,-0.7009345794392496,-0.46511627906977715
BMP,-2.684563758389269,0.5624296962879693,2.183908045977012,-2.9017857142857095,6.921241050119331,4.48877805486283,3.6175710594315236,0.1293661060802087,0.12953367875647714,4.324324324324325,-1.3333333333333308,1.2145748987854255,0.27063599458725385,-0.9383378016085686,-1.3227513227513255,-0.526315789473697,-1.041666666666663,-1.538461538461544,1.298701298701288,-2.035623409669207,-0.5063291139240533,3.6745406824146842,0.0
BVH,0.5747126436781658,-0.5714285714285672,-1.1299435028248594,0.3780718336483968,1.7307692307692246,0.7751937984496138,0.1941747572815622,0.3898635477582957,0.3913894324853118,1.388888888888884,1.8181818181818077,-2.1739130434782594,1.200000000000001,-3.288201160541593,-2.4528301886792447,-2.752293577981646,0.18382352941177516,1.303538175046537,-0.5555555555555536,-1.8181818181818188,-1.9607843137254943,0.0,0.7181328545780907
CII,-0.30674846625767804,0.46224961479197635,3.5087719298245723,0.6420545746388617,0.4838709677419395,0.9771986970684043,-0.9677419354838679,-1.5873015873015928,0.31847133757962887,-0.15898251192368873,-0.7886435331230235,0.31645569620253333,-0.940438871473348,-0.31250000000000444,-1.8404907975460127,-1.5105740181268867,-2.5036818851251863,-1.8786127167630062,2.6706231454005858,0.8982035928143839,-1.764705882352946,-1.449275362318836,-1.9886363636363757
CTD,-1.2820512820512775,-1.5565839293226746,-0.5439330543933085,1.7021276595744705,1.7316017316017396,0.43478260869564966,-2.5423728813559365,0.12728044123886395,-0.9663865546218564,5.777777777777771,-0.4424778761061954,1.8018018018018056,1.83486238532109,-2.198295199641098,4.1588785046728916,1.904761904761898,0.0,0.0,1.0101010101010166,-2.850467289719627,0.46948356807512415,0.0,0.28248587570620654
CTG,-1.904761904761898,0.9615384615384581,-0.4784688995215225,2.450980392156854,0.0,3.5532994923857864,-1.005025125628134,2.051282051282044,0.5154639175257714,3.4666666666666623,1.3513513513513598,-1.5957446808510634,0.2666666666666595,-1.055408970976246,-0.7853403141361404,1.5957446808510634,-1.5706806282722585,1.3262599469495928,-0.5277044854881119,-2.570694087403602,-0.2564102564102555,0.0,0.5154639175257714
DHG,-2.534113060428844,3.1155778894472297,4.516806722689082,1.276595744680864,-1.8789144050104345,-1.2371134020618624,0.8316008316008316,0.10405827263268996,-0.9278350515463996,1.2526096033403045,6.44444444444443,-5.263157894736848,-5.284147557328012,-4.476190476190478,-0.7561436672967825,-0.09442870632673239,0.0,-1.9444444444444375,-3.2258064516129004,-2.2767075306479923,-1.9742489270386243,4.110813226094723,-0.9734513274336276
DPM,-1.17647058823529,3.15533980582523,0.4878048780487809,-1.4423076923076983,0.7263922518159882,0.24271844660193054,0.9803921568627638,1.2406947890818865,-0.4938271604938316,-1.6990291262136026,-1.4354066985645786,0.0,-1.8779342723004744,-0.23419203747072626,-0.4662004662004615,0.7042253521126751,-1.6166281755196188,-0.6880733944954254,-0.6833712984054552,-0.45351473922903285,0.0,0.2272727272727204,-1.3452914798206317
FPT,-0.5263157894736747,0.17574692442883233,5.56586270871986,-0.18518518518518823,3.44827586206895,-0.760456273764254,-0.7547169811320753,3.515625,-0.38910505836574627,0.7843137254901933,0.990099009900991,-0.5905511811023612,0.7936507936507908,0.8000000000000007,-0.3984063745020028,1.2096774193548487,-0.2012072434607659,0.8113590263691739,0.0,-1.988071570576544,-0.5928853754940788,0.1980198019801982,-1.9417475728155331
GAS,-0.6257822277847325,0.25094102885823144,-0.374999999999992,0.6289308176100628,3.515625,0.0,0.26109660574413773,2.5435073627844584,-0.40000000000000036,2.0408163265306145,1.2396694214876103,-0.5479452054794609,2.0979020979021046,-1.9204389574760006,5.1948051948051965,1.0204081632653184,-1.7191977077363974,0.1434720229555264,2.349486049926597,-3.6775106082036935,0.5689900426742556,1.1510791366906359,0.14409221902016434
GMD,-2.007083825265643,1.5587529976019088,3.473945409429291,3.3333333333333215,-1.015228426395931,1.546391752577314,-1.896333754740831,0.12658227848101333,1.2820512820512775,0.0,2.6315789473684292,-5.000000000000004,-1.2345679012345734,-0.36900369003689537,-2.048192771084345,0.7281553398058138,-1.4354066985645786,0.23980815347719453,0.24038461538462563,-1.4218009478673022,-2.314814814814814,-0.6896551724137834,-1.8058690744920947
HPG,-1.1642949547218562,-0.2580645161290307,3.609625668449201,2.046384720327432,-1.6107382550335614,0.5398110661268607,0.0,0.40650406504063596,0.0,1.933701657458542,4.022988505747138,-2.521008403361358,-3.513513513513511,0.5434782608695787,-2.3872679045092937,1.8918918918918948,-0.9370816599732268,-0.40000000000000036,1.0781671159029615,-0.9345794392523366,-0.9259259259259078,-1.5625,-1.538461538461544
HSG,-2.0746887966805017,-1.0266940451745366,2.0964360587002018,5.530973451327426,-1.7391304347825987,0.8771929824561431,-2.9787234042553123,0.8583690987124415,0.0,3.5555555555555562,6.635071090047395,-4.524886877828049,-4.535637149028071,1.982378854625555,-6.584362139917699,-3.57142857142857,0.5988023952095745,-4.389312977099236,-1.8726591760299671,-1.6574585635359074,-1.0928961748633892,0.5494505494505475,-1.4440433212996373
KBC,-0.37735849056603765,-0.3759398496240629,4.313725490196085,1.5936254980079667,-1.1811023622047112,-0.39215686274510775,0.3937007874015741,-2.3076923076923106,-0.3831417624521105,2.755905511811041,6.72268907563025,-4.417670682730912,-3.11284046692607,-0.7722007722007707,-0.38461538461539435,4.0000000000000036,-4.942965779467679,-0.7547169811320753,-0.3759398496240629,0.0,0.7575757575757791,-0.37735849056603765,0.37878787878788955
KDC,-1.945525291828798,2.663115845539288,2.876712328767117,0.5509641873278293,-1.3586956521739135,0.0,-0.8086253369272378,-0.26881720430107503,-0.7999999999999896,0.536193029490617,0.0,1.634877384196165,-0.944669365721984,0.13513513513512265,0.0,0.0,-1.3333333333333308,-2.088772845952991,0.2617801047120283,-1.036269430051806,-0.1293661060801976,1.1780104712041828,-0.13071895424835445
MBB,1.2875536480686733,1.7467248908296984,-0.8658008658008809,0.2169197396963085,-2.123142250530785,0.21276595744681437,-1.260504201680679,2.3655913978494647,1.5283842794759916,1.103752759381904,0.8908685968819663,-0.8830022075055122,0.22123893805308104,0.0,-1.7391304347825987,2.2222222222222143,-0.8810572687224627,1.5659955257270708,0.6756756756756799,-1.333333333333342,-0.4424778761062065,-2.164502164502169,-1.492537313432829
MSN,-1.6949152542372836,4.424778761061954,-2.5862068965517238,-1.6949152542372836,-0.8403361344537785,0.16835016835017313,-0.8347245409014992,0.0,-0.4983388704319025,0.0,0.16638935108153063,0.16666666666667052,0.8403361344537785,-0.8333333333333304,2.564102564102555,2.2727272727272707,1.2389380530973604,0.8928571428571397,0.0,-0.8849557522123908,0.8928571428571397,-1.2345679012345734,0.8896797153024938
MWG,-0.371747211895912,0.7490636704119868,-0.743494423791824,5.078125,-0.6982156710628407,-0.07751937984495916,0.78125,1.3460015835312866,-0.5511811023622082,1.195219123505975,4.583333333333339,-5.437352245862892,-1.2451361867704236,-1.001540832049319,-0.916030534351131,0.5372217958557135,-0.7616146230007614,2.578125000000009,1.9920318725099584,-1.5686274509803977,-3.409090909090906,2.7237354085603016,0.7053291536050166
NT2,-0.9646302250803873,-0.9554140127388422,-0.6329113924050778,3.9473684210526327,-0.815660685154973,0.8223684210526327,1.3333333333333197,-0.6622516556291314,-0.49423393739703725,0.8305647840531671,0.33333333333334103,0.0,0.16694490818029983,0.0,-3.3870967741935543,4.3771043771043905,-0.1680672268907557,1.1904761904761862,3.157894736842093,0.5291005291005346,-0.8741258741258751,1.0600706713780994,-1.2216404886561838
NVL,-0.16420361247947435,0.32948929159801743,0.0,-0.1644736842105199,0.0,0.6622516556291425,-0.983606557377048,-0.326797385620925,-0.32573289902279035,-0.1626016260162677,-0.4854368932038833,1.6447368421052655,-0.16420361247947435,-0.16393442622950616,0.0,0.49423393739702615,-0.1644736842105199,-1.1382113821138296,-0.16233766233766378,-0.9646302250803873,-1.11287758346581,0.4792332268370503,-0.7923930269413626
PVD,-2.521008403361358,3.779069767441867,-1.7142857142857237,-1.6853932584269704,4.093567251461994,1.7857142857142794,0.0,-0.5917159763313529,4.968944099378869,0.6250000000000089,3.8961038961038863,-1.5974440894568676,5.033557046979875,0.33670033670034627,0.33783783783782884,2.422145328719738,0.6968641114982521,0.34965034965033226,0.0,-3.703703703703698,-1.655629139072845,2.0270270270270174,1.3698630136986356
REE,-1.276595744680864,2.470930232558133,1.775147928994092,0.8955223880596996,-1.179941002949847,0.0,2.7272727272727337,0.0,-0.7518796992481258,1.6819571865443361,2.187500000000009,-5.044510385756684,-1.4619883040935644,-0.7256894049346929,-1.571428571428568,4.477611940298498,-0.5934718100890302,0.5970149253731405,-0.5934718100890302,-2.3188405797101352,-0.7194244604316502,-0.42979942693409656,-0.5698005698005826
ROS,0.8869179600886845,0.7821229050279266,0.7882882882882969,0.8517887563884052,0.8591065292096189,0.22962112514350874,-6.795077581594445,-6.829511465603188,0.1497753369944954,-6.445586174684714,6.889665501747366,-6.401869158878504,7.000000000000006,-4.62565569861707,6.9897959183673475,6.870229007633588,6.62790697674418,6.633601983880966,6.962864721485418,6.723283793347479,6.964420893262702,6.963562753036423,6.926406926406936
SAB,0.0,3.3591731266150004,-1.2035010940919078,-0.7241129616220143,-0.10849909584087492,-0.5753326141675785,-1.2078152753108307,-1.2627148368993368,-1.6896551724137843,0.0,0.34602076124568004,0.7319623562216826,0.45518207282910783,-0.4878048780487698,2.317290552584672,-0.5319148936170248,0.9305654974946398,-0.39215686274510775,0.17857142857142794,3.703703703703698,-2.877697841726623,-1.243339253996445,0.8960573476702427
SBT,-0.2336448598130758,0.7058823529411784,-1.8475750577367167,0.23148148148146586,0.6993006993007089,6.982543640897743,-2.195121951219514,-0.24330900243308973,3.007518796992481,-4.77326968973747,-1.1792452830188704,1.4354066985645897,0.9661835748792313,-1.4285714285714346,-3.4482758620689613,-3.3333333333333326,-1.5317286652078876,6.775700934579443,1.904761904761898,-2.3255813953488413,-5.286343612334798,-2.3655913978494647,-1.273885350318471
SHB,2.5316455696202445,-1.2499999999999956,1.2658227848101111,1.2820512820512997,-1.2658227848101333,1.2820512820512997,-1.2658227848101333,1.2820512820512997,0.0,0.0,0.0,-1.2658227848101333,1.2820512820512997,-1.2658227848101333,-1.2499999999999956,1.2658227848101111,-2.4691358024691246,1.2499999999999956,0.0,-1.2345679012345623,-1.2195121951219523,0.0,-1.2048192771084487
SSI,-0.40650406504065817,1.4432989690721598,-0.2057613168724326,1.039501039501034,3.2188841201716833,-0.21413276231263545,1.3015184381778733,0.21739130434783593,-0.43290043290044045,1.3157894736842035,1.1086474501108556,1.5765765765765938,-1.7699115044247926,-1.094091903719907,-1.5086206896551602,0.0,-0.8547008547008517,0.21413276231261325,-1.0593220338983023,-2.8806584362139898,-0.8163265306122436,-1.4084507042253613,0.20161290322580072
